Unique,Site,MaxDiameter,FlareLength,RimThick,ThickBelowFlare,FlareAngle,MaxIncising,MaxTrailing
336,Myer-Dickson,27,62.7,6.4,3.5,NA,0.9,NA
337,Myer-Dickson,39,75.2,7.7,4.5,NA,NA,NA
338,Myer-Dickson,NA,NA,5.9,NA,NA,NA,NA
339,Myer-Dickson,NA,44.8,7.8,8.2,NA,1.1,NA
340,Myer-Dickson,NA,NA,6,NA,NA,1,NA
341,Myer-Dickson,27,50.9,8.1,5.2,NA,1.2,NA
342,Myer-Dickson,32,NA,7.5,6.4,NA,1,NA
343,Myer-Dickson,NA,NA,NA,5.3,NA,1.6,NA
344,Myer-Dickson,28,NA,7.9,NA,NA,0.7,NA
345,Myer-Dickson,33,70.8,7.5,NA,NA,0.8,NA
346,Myer-Dickson,NA,42.3,8.5,7.5,NA,NA,NA
